(0.455445,-0.933947)
(0.535792,-0.930797)
(0.614942,-0.915656)
(0.691113,-0.888909)
(0.762640,-0.851085)
(0.827895,-0.803097)
(0.885504,-0.746016)
(0.934155,-0.681083)
(0.972786,-0.609737)
(1.000638,-0.533569)
(1.017078,-0.454253)
(1.021832,-0.373555)
(1.014811,-0.293197)
(0.996263,-0.214948)
(0.966621,-0.140514)
(0.926618,-0.071478)
(0.877207,-0.009337)
(0.819523,0.044615)
(0.754910,0.089245)
(0.684839,0.123655)
(0.610915,0.147167)
(0.534804,0.159338)
(0.458255,0.159995)
(0.382969,0.149236)
(0.310629,0.127406)
(0.242868,0.095076)
(0.181150,0.053079)
(0.126868,0.002442)
(0.081208,-0.055606)
(0.045166,-0.119675)
(0.019477,-0.188265)
(0.004717,-0.259752)
(0.001166,-0.332483)
(0.008840,-0.404761)
(0.027540,-0.474921)
(0.056794,-0.541333)
(0.095912,-0.602478)
(0.143961,-0.656972)
(0.199839,-0.703526)
(0.262249,-0.741113)
(0.329792,-0.768862)
(0.400894,-0.786139)
(0.473963,-0.792540)
(0.547348,-0.787927)
(0.619400,-0.772390)
(0.688494,-0.746288)
(0.753098,-0.710163)
(0.811750,-0.664850)
(0.863203,-0.611338)
(0.906299,-0.550824)
(0.940096,-0.484644)
(0.963855,-0.414252)
(0.977105,-0.341201)
(0.979578,-0.267112)
(0.971244,-0.193567)
(0.952337,-0.122233)
(0.923298,-0.054625)
(0.884854,0.007821)
(0.837866,0.063711)
(0.783425,0.111869)
(0.722791,0.151306)
(0.657347,0.181188)
(0.588552,0.200917)
(0.518005,0.210134)
(0.447258,0.208722)
(0.377953,0.196784)
(0.311616,0.174640)
(0.249699,0.142886)
(0.193637,0.102303)
(0.144607,0.053897)
(0.103748,-0.001222)
(0.071941,-0.061703)
(0.049850,-0.126181)
(0.037962,-0.193082)
(0.036507,-0.260909)
(0.045488,-0.328066)
(0.064690,-0.393002)
(0.093618,-0.454240)
(0.131623,-0.510362)
(0.177811,-0.560053)
(0.231124,-0.602205)
(0.290319,-0.635830)
(0.354102,-0.660181)
(0.420970,-0.674649)
(0.489440,-0.678934)
(0.557966,-0.672908)
(0.624998,-0.656707)
(0.689036,-0.630659)
(0.748638,-0.595363)
(0.802503,-0.551576)
(0.849403,-0.500265)
(0.888346,-0.442577)
(0.918414,-0.379766)
(0.938988,-0.313219)
(0.949632,-0.244410)
(0.950131,-0.174865)
(0.940478,-0.106113)
(0.920955,-0.039622)
(0.891982,0.023144)
